# X, Y, Z
30.00 648.50 399.45
49.85 648.50 392.15
69.71 648.50 384.31
89.56 648.50 376.15
109.41 648.50 367.88
129.27 648.50 360.35
149.12 648.50 352.42
168.97 648.50 344.88
188.82 648.50 338.83
208.68 648.50 331.68
228.53 648.50 326.10
248.38 648.50 321.69
268.24 648.50 318.47
288.09 648.50 317.30
307.94 648.50 317.11
327.80 648.50 318.04
347.65 648.50 321.00
367.50 648.50 325.21
387.36 648.50 330.65
407.21 648.50 336.66
427.06 648.50 343.56
446.92 648.50 351.00
466.77 648.50 358.88
486.62 648.50 366.36
506.48 648.50 374.63
526.33 648.50 381.53
546.18 648.50 389.41
566.03 648.50 397.30
585.89 648.50 405.16
605.74 648.50 412.36
625.59 648.50 420.57
645.45 648.50 429.63
665.30 648.50 437.02
30.00 628.51 392.00
49.85 628.51 384.36
69.71 628.51 376.56
89.56 628.51 368.51
109.41 628.51 360.76
129.27 628.51 352.49
149.12 628.51 344.48
168.97 628.51 337.59
188.82 628.51 330.64
208.68 628.51 323.77
228.53 628.51 318.09
248.38 628.51 313.64
268.24 628.51 310.64
288.09 628.51 308.91
307.94 628.51 308.76
327.80 628.51 310.31
347.65 628.51 312.95
367.50 628.51 317.19
387.36 628.51 322.69
407.21 628.51 328.54
427.06 628.51 336.27
446.92 628.51 343.05
466.77 628.51 351.00
486.62 628.51 359.23
506.48 628.51 366.70
526.33 628.51 374.56
546.18 628.51 381.54
566.03 628.51 389.38
585.89 628.51 397.31
605.74 628.51 404.74
625.59 628.51 412.85
645.45 628.51 421.84
665.30 628.51 429.56
30.00 608.52 384.40
49.85 608.52 376.95
69.71 608.52 369.08
89.56 608.52 361.30
109.41 608.52 352.97
129.27 608.52 344.47
149.12 608.52 337.27
168.97 608.52 329.46
188.82 608.52 322.85
208.68 608.52 315.60
228.53 608.52 309.89
248.38 608.52 305.82
268.24 608.52 302.27
288.09 608.52 300.45
307.94 608.52 300.11
327.80 608.52 301.76
347.65 608.52 305.11
367.50 608.52 309.00
