# X, Y, Z
30.00 648.50 563.79
49.85 648.50 560.01
69.71 648.50 555.94
89.56 648.50 551.71
109.41 648.50 547.42
129.27 648.50 544.83
149.12 648.50 540.79
168.97 648.50 536.19
188.82 648.50 531.50
208.68 648.50 523.04
228.53 648.50 514.79
248.38 648.50 505.16
268.24 648.50 495.31
288.09 648.50 486.27
307.94 648.50 477.59
327.80 648.50 469.63
347.65 648.50 462.87
367.50 648.50 457.52
387.36 648.50 454.74
407.21 648.50 453.16
427.06 648.50 454.37
446.92 648.50 457.33
466.77 648.50 461.38
486.62 648.50 466.63
506.48 648.50 470.92
526.33 648.50 474.50
546.18 648.50 478.58
566.03 648.50 482.67
585.89 648.50 486.75
605.74 648.50 490.49
625.59 648.50 494.74
645.45 648.50 499.44
665.30 648.50 503.27
30.00 628.51 559.93
49.85 628.51 555.96
69.71 628.51 551.92
89.56 628.51 547.75
109.41 628.51 544.36
129.27 628.51 540.86
149.12 628.51 536.77
168.97 628.51 532.98
188.82 628.51 527.61
208.68 628.51 519.92
228.53 628.51 510.82
248.38 628.51 501.10
268.24 628.51 491.79
288.09 628.51 481.97
307.94 628.51 473.24
327.80 628.51 465.39
347.65 628.51 458.60
367.50 628.51 453.22
387.36 628.51 449.62
407.21 628.51 448.54
427.06 628.51 449.96
446.92 628.51 453.08
466.77 628.51 457.17
486.62 628.51 462.23
506.48 628.51 466.81
526.33 628.51 470.88
546.18 628.51 474.50
566.03 628.51 478.57
585.89 628.51 482.68
605.74 628.51 486.53
625.59 628.51 490.74
645.45 628.51 495.40
665.30 628.51 499.40
30.00 608.52 555.98
49.85 608.52 552.12
69.71 608.52 548.04
89.56 608.52 544.14
109.41 608.52 540.13
129.27 608.52 536.60
149.12 608.52 533.66
168.97 608.52 529.25
188.82 608.52 524.71
208.68 608.52 516.64
228.53 608.52 507.01
248.38 608.52 497.70
268.24 608.52 487.47
288.09 608.52 477.75
307.94 608.52 468.61
327.80 608.52 460.65
347.65 608.52 453.91
367.50 608.52 448.59
387.36 608.52 444.27
407.21 608.52 442.66
427.06 608.52 445.17
446.92 608.52 448.67
466.77 608.52 453.06
486.62 608.52 458.34
506.48 608.52 462.89
526.33 608.52 466.82
546.18 608.52 470.94
566.03 608.52 474.44
585.89 608.52 478.56
605.74 608.52 482.80
625.59 608.52 486.86
645.45 608.52 491.55
665.30 608.52 495.44
30.00 588.54 552.01
