# 2D_CellID X Y Z_meter Indicator
0 32.48 646.00 563.27 1
0 32.48 646.00 557.37 0
0 32.48 646.00 547.37 1
0 32.48 646.00 541.27 0
0 32.48 646.00 536.87 1
0 32.48 646.00 530.77 0
0 32.48 646.00 521.37 1
0 32.48 646.00 504.07 0
0 32.48 646.00 497.47 1
0 32.48 646.00 480.77 0
0 32.48 646.00 478.07 1
0 32.48 646.00 468.57 0
0 32.48 646.00 449.17 1
0 32.48 646.00 435.27 0
0 32.48 646.00 429.17 1
0 32.48 646.00 413.07 0
0 32.48 646.00 404.77 1
0 32.48 646.00 401.97 0
0 32.48 646.00 398.45 -999
1 37.44 646.00 562.75 1
1 37.44 646.00 556.85 0
1 37.44 646.00 546.85 1
1 37.44 646.00 540.75 0
1 37.44 646.00 536.25 1
1 37.44 646.00 530.15 0
1 37.44 646.00 520.65 1
1 37.44 646.00 503.45 0
1 37.44 646.00 496.75 1
1 37.44 646.00 480.05 0
1 37.44 646.00 477.25 1
1 37.44 646.00 467.75 0
1 37.44 646.00 448.35 1
1 37.44 646.00 434.45 0
1 37.44 646.00 428.25 1
1 37.44 646.00 412.15 0
1 37.44 646.00 403.75 1
1 37.44 646.00 401.05 0
1 37.44 646.00 397.44 -999
2 42.41 646.00 561.67 1
2 42.41 646.00 555.77 0
2 42.41 646.00 545.67 1
2 42.41 646.00 539.47 0
2 42.41 646.00 535.07 1
2 42.41 646.00 528.87 0
2 42.41 646.00 519.37 1
2 42.41 646.00 501.97 0
2 42.41 646.00 495.27 1
2 42.41 646.00 478.47 0
2 42.41 646.00 475.67 1
2 42.41 646.00 466.17 0
2 42.41 646.00 446.57 1
2 42.41 646.00 432.57 0
2 42.41 646.00 426.37 1
2 42.41 646.00 410.17 0
2 42.41 646.00 401.77 1
2 42.41 646.00 398.97 0
2 42.41 646.00 395.36 -999
3 47.37 646.00 560.57 1
3 47.37 646.00 554.57 0
3 47.37 646.00 544.47 1
3 47.37 646.00 538.27 0
3 47.37 646.00 533.77 1
3 47.37 646.00 527.57 0
3 47.37 646.00 517.97 1
3 47.37 646.00 500.47 0
3 47.37 646.00 493.77 1
3 47.37 646.00 476.87 0
3 47.37 646.00 474.07 1
3 47.37 646.00 464.47 0
3 47.37 646.00 444.77 1
3 47.37 646.00 430.67 0
3 47.37 646.00 424.47 1
3 47.37 646.00 408.07 0
3 47.37 646.00 399.67 1
3 47.37 646.00 396.87 0
3 47.37 646.00 393.24 -999
4 52.33 646.00 559.44 1
4 52.33 646.00 553.44 0
4 52.33 646.00 543.24 1
4 52.33 646.00 537.04 0
4 52.33 646.00 532.44 1
4 52.33 646.00 526.24 0
4 52.33 646.00 516.54 1
4 52.33 646.00 499.04 0
4 52.33 646.00 492.24 1
4 52.33 646.00 475.24 0
4 52.33 646.00 472.34 1
4 52.33 646.00 462.74 0
4 52.33 646.00 442.84 1
4 52.33 646.00 428.74 0
4 52.33 646.00 422.44 1
4 52.33 646.00 406.04 0
4 52.33 646.00 397.54 1
4 52.33 646.00 394.74 0
4 52.33 646.00 391.06 -999
5 57.30 646.00 558.87 0
5 57.30 646.00 551.67 1
5 57.30 646.00 547.77 0
5 57.30 646.00 539.17 1
5 57.30 646.00 536.37 0
5 57.30 646.00 528.37 1
5 57.30 646.00 525.57 0
5 57.30 646.00 515.87 1
5 57.30 646.00 498.27 0
5 57.30 646.00 491.47 1
5 57.30 646.00 474.37 0
5 57.30 646.00 471.47 1
5 57.30 646.00 461.87 0
5 57.30 646.00 441.97 1
5 57.30 646.00 427.77 0
5 57.30 646.00 421.47 1
5 57.30 646.00 420.87 0
5 57.30 646.00 419.17 1
5 57.30 646.00 414.07 0
5 57.30 646.00 408.37 1
5 57.30 646.00 404.97 0
5 57.30 646.00 396.47 1
5 57.30 646.00 393.57 0
5 57.30 646.00 389.95 -999
6 62.26 646.00 557.71 0
6 62.26 646.00 550.51 1
6 62.26 646.00 546.51 0
6 62.26 646.00 537.91 1
6 62.26 646.00 535.01 0
6 62.26 646.00 524.21 1
6 62.26 646.00 517.91 0
6 62.26 646.00 497.31 1
6 62.26 646.00 475.51 0
6 62.26 646.00 466.91 1
6 62.26 646.00 460.11 0
6 62.26 646.00 440.01 1
6 62.26 646.00 425.71 0
6 62.26 646.00 419.41 1
6 62.26 646.00 418.91 0
6 62.26 646.00 417.11 1
6 62.26 646.00 412.01 0
6 62.26 646.00 396.51 1
6 62.26 646.00 387.72 -999
7 67.22 646.00 556.53 0
7 67.22 646.00 549.23 1
7 67.22 646.00 545.23 0
7 67.22 646.00 536.63 1
7 67.22 646.00 533.73 0
7 67.22 646.00 522.83 1
7 67.22 646.00 516.43 0
7 67.22 646.00 495.73 1
7 67.22 646.00 473.83 0
7 67.22 646.00 465.23 1
7 67.22 646.00 458.23 0
7 67.22 646.00 438.13 1
7 67.22 646.00 423.73 0
7 67.22 646.00 417.33 1
7 67.22 646.00 416.83 0
7 67.22 646.00 415.03 1
7 67.22 646.00 409.93 0
7 67.22 646.00 394.33 1
7 67.22 646.00 385.45 -999
8 72.19 646.00 555.34 0
