X,Y,Z_top,X,Y,Z_bot
96.18,335.36,488.10536647920935,96.18,335.36,251.71407417058654
301.32,342.03,417.7154949464657,301.32,342.03,196.1446491910943
519.71,342.03,411.0765562277361,519.71,342.03,260.0365513260408
433.68,355.35,395.5059413039853,433.68,355.35,231.91851092212775
552.8,375.34,425.4206733837112,552.8,375.34,286.88463476070524
559.41,382.0,428.15599999999995,559.41,382.0,292.1620486985726
592.51,395.32,437.47667986134127,592.51,395.32,310.1366910356942
56.47,415.31,512.2259896614975,56.47,415.31,299.88535934633984
235.15,435.3,469.1483694374475,235.15,435.3,242.62592275398825
618.97,461.95,456.22661157278895,618.97,461.95,346.2898918325662
460.15,481.94,426.3864189752307,460.15,481.94,291.9131017120651
499.86,481.94,435.76398866099714,499.86,481.94,307.46799733199936
255.0,515.25,475.4426663331666,255.0,515.25,268.7151659162915
400.59,521.92,427.2112868776958,400.59,521.92,285.73723843281834
36.62,535.24,540.302670025189,36.62,535.24,354.1520554156171
360.88,541.9,438.280898404702,360.88,541.9,283.3692947103275
638.83,541.9,476.9366666666667,638.83,541.9,386.2366666666667
341.03,561.89,448.05506335283513,341.03,561.89,287.27405635311356
215.3,575.21,506.641108884417,215.3,575.21,301.6246549950038
301.32,581.88,466.5887384699907,301.32,581.88,290.3011394084952
572.65,575.21,469.5793846923462,572.65,575.21,372.0488144072036
652.07,575.21,486.34993733390627,652.07,575.21,404.38654268444054
155.74,595.2,529.5226935348446,155.74,595.2,329.57556842989084
301.32,601.86,470.32153484466835,301.32,601.86,297.6167237615449
294.71,635.17,480.49115031319184,294.71,635.17,311.6552424449
